:Data_list: 20200723_ace_mag_1m.txt
:Created: 2020 Jul 23 0100 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2020 07 23  0000   59053       0    0     1.2     3.4     0.1     3.6     1.5    69.9
2020 07 23  0001   59053      60    0     1.2     3.3     0.5     3.5     7.7    70.4
2020 07 23  0002   59053     120    0     0.9     3.4     0.4     3.5     7.3    75.1
2020 07 23  0003   59053     180    0     0.8     3.4     0.5     3.5     8.5    76.9
2020 07 23  0004   59053     240    0     0.6     3.5     0.5     3.5     8.3    80.7
2020 07 23  0005   59053     300    0     0.5     3.4     0.6     3.5    10.3    81.4
2020 07 23  0006   59053     360    0     0.7     3.4     0.5     3.5     8.8    78.9
2020 07 23  0007   59053     420    0     0.8     3.4     0.5     3.5     8.0    76.8
2020 07 23  0008   59053     480    0     0.8     3.3     0.7     3.5    12.2    76.9
2020 07 23  0009   59053     540    0     1.0     3.3     0.6     3.5    10.1    72.8
2020 07 23  0010   59053     600    0     1.6     3.3     0.3     3.7     5.4    63.8
2020 07 23  0011   59053     660    0     1.5     3.4     0.5     3.7     7.6    66.1
2020 07 23  0012   59053     720    0     1.1     3.4     0.8     3.7    12.6    71.6
2020 07 23  0013   59053     780    0     1.1     3.4     0.9     3.6    14.3    72.4
2020 07 23  0014   59053     840    0     1.5     3.2     0.6     3.5     9.1    64.7
2020 07 23  0015   59053     900    0     1.9     2.8     0.4     3.4     6.2    56.2
2020 07 23  0016   59053     960    0     1.9     2.7     0.3     3.3     4.8    54.1
2020 07 23  0017   59053    1020    0     2.2     2.6     0.2     3.4     2.7    49.6
