[root][2020-06-24 09:10:53][2020-06-24 09:10:53][   2708900]:  数据库表data_file_info导出数据, 6846条
[root][2020-06-24 09:10:53][2020-06-24 09:11:24][   2708900]:  收集数据data,压缩并导出
[root][2020-06-24 09:11:24][2020-06-24 09:11:24][   2708900]:  数据库表product_file_info导出数据, 14条
[root][2020-06-24 09:11:24][2020-06-24 09:11:24][   2708900]:  产品数据product,压缩并导出
[root][2020-06-24 09:11:24][2020-06-24 09:11:24][   2708900]:  数据库表alert_file_info导出数据, 0条
[root][2020-06-24 09:11:24][2020-06-24 09:11:24][   2708900]:  警报数据alert,压缩并导出
[root][2020-06-24 09:11:50][2020-06-24 09:11:50][   2710445]:  数据库表data_file_info导出数据, 6848条
[root][2020-06-24 09:11:50][2020-06-24 09:12:00][   2710445]:  收集数据data,压缩并导出
[root][2020-06-24 09:12:00][2020-06-24 09:12:00][   2710445]:  数据库表product_file_info导出数据, 14条
[root][2020-06-24 09:12:00][2020-06-24 09:12:00][   2710445]:  产品数据product,压缩并导出
[root][2020-06-24 09:12:00][2020-06-24 09:12:00][   2710445]:  数据库表alert_file_info导出数据, 0条
[root][2020-06-24 09:12:00][2020-06-24 09:12:00][   2710445]:  警报数据alert,压缩并导出
[root][2020-06-24 09:12:01][2020-06-24 09:12:01][   2710477]:  数据库表data_file_info导出数据, 6848条
[root][2020-06-24 09:12:01][2020-06-24 09:12:10][   2710477]:  收集数据data,压缩并导出
[root][2020-06-24 09:12:10][2020-06-24 09:12:10][   2710477]:  数据库表product_file_info导出数据, 14条
[root][2020-06-24 09:12:10][2020-06-24 09:12:12][   2710477]:  产品数据product,压缩并导出
[root][2020-06-24 09:12:12][2020-06-24 09:12:12][   2710477]:  数据库表alert_file_info导出数据, 0条
[root][2020-06-24 09:12:12][2020-06-24 09:12:12][   2710477]:  警报数据alert,压缩并导出
[root][2020-06-24 09:12:13][2020-06-24 09:12:13][   2710501]:  数据库表data_file_info导出数据, 6848条
[root][2020-06-24 09:12:19][2020-06-24 09:12:19][   2710511]:  数据库表data_file_info导出数据, 6848条
[root][2020-06-24 09:12:13][2020-06-24 09:12:24][   2710501]:  收集数据data,压缩并导出
[root][2020-06-24 09:12:24][2020-06-24 09:12:24][   2710501]:  数据库表product_file_info导出数据, 14条
[root][2020-06-24 09:12:24][2020-06-24 09:12:24][   2710501]:  产品数据product,压缩并导出
[root][2020-06-24 09:12:24][2020-06-24 09:12:25][   2710501]:  数据库表alert_file_info导出数据, 0条
[root][2020-06-24 09:12:24][2020-06-24 09:12:25][   2710501]:  警报数据alert,压缩并导出
